PassengerId,Probability
0013_01,0.45939198
0018_01,0.0007419541
0019_01,0.99999774
0021_01,0.99999994
0023_01,0.45816967
0027_01,0.61078006
0029_01,0.99995255
0032_01,0.9999896
0032_02,1.0
0033_01,0.44480988
0037_01,0.13582905
0040_01,0.19212471
0040_02,0.81986713
0042_01,0.45939198
0046_01,0.0054073203
0046_02,0.07538281
0046_03,0.07476321
0047_01,0.9999978
0047_02,1.0
0047_03,0.00013838531
0048_01,0.4098147
0049_01,0.011739145
0054_01,0.9974408
0054_02,0.99230313
0054_03,0.5687673
0055_01,0.08897307
0057_01,1.0
0059_01,0.50932455
0060_01,0.36409757
0063_01,0.45939198
0065_01,0.45939198
0075_01,0.09576266
0079_01,0.45939198
0080_01,0.4054701
0083_01,0.13993897
0087_01,0.20709977
0089_01,0.98449033
0093_01,0.45939198
0094_01,0.45939198
0094_02,0.10932957
0095_01,0.57773554
0096_01,0.2679132
0100_01,0.45678607
0100_02,0.45939198
0104_01,0.12233378
0106_01,0.5637141
0109_01,0.18688148
0117_01,0.45997623
0118_01,0.40634844
0121_01,0.050086193
0124_01,0.5525956
0125_01,0.9995109
0125_02,0.00046516498
0130_01,0.56175923
0131_01,0.41048333
0132_01,0.9939795
0135_01,0.2362543
0137_01,0.45939198
0142_01,0.98808646
0142_02,0.45438766
0142_03,0.9946128
0143_01,0.9999911
0145_01,0.0955147
0150_01,0.99234843
0150_02,0.9997646
0153_01,0.3198522
0154_01,0.586602
0155_01,0.01683368
0156_01,0.948727
0157_01,0.029258905
0158_01,0.28916374
0158_02,0.46585777
0159_01,0.11725612
0161_01,0.16929848
0162_01,0.99984825
0166_01,0.37863204
0168_01,0.99998516
0175_01,0.45939198
0175_02,0.45939198
0175_03,0.45939198
0175_04,0.45939198
0175_05,0.39860454
0176_01,0.20961861
0180_01,0.20946975
0184_01,0.18689391
0185_01,0.45939198
0187_01,0.9994879
0191_01,0.1252951
0194_01,0.9677156
0194_02,0.9998908
0194_03,8.397508e-08
0204_01,0.2851305
0208_01,0.34619722
0209_01,1.7144853e-29
0214_01,0.0036688608
0214_02,0.004808016
0215_01,0.45939198
0218_01,0.16562201
0226_01,1.0
0227_01,0.35528502
0228_01,0.99998146
0228_02,1.0
0228_03,0.99999994
0228_04,8.1494666e-14
0230_01,0.8190449
0230_02,0.18876079
0235_01,0.45939198
0236_01,0.9970318
0238_01,0.19425194
0247_01,0.9999997
0247_02,1.0
0249_01,0.07705732
0256_01,0.4507569
0259_01,0.9404594
0262_01,0.06791126
0264_01,0.9999923
0264_02,0.99999994
0264_03,5.065361e-22
0266_01,0.063035175
0266_02,0.09302197
0268_01,0.0058146818
0268_02,0.11443149
0271_01,0.142516
0272_01,0.2683693
0273_01,1.0
0273_02,0.9999015
0273_03,0.002076701
0274_01,0.00046995658
0274_02,0.45939198
0276_01,0.00013568396
0276_02,0.99999994
0279_01,0.17446329
0280_01,0.37498772
0284_01,0.40847582
0292_01,0.058394063
0293_01,0.9976892
0295_01,0.41621295
0296_01,0.1432453
0299_01,0.25762403
0300_01,0.10242899
0308_01,0.45939198
0311_01,0.7271272
0312_01,0.45939198
0317_01,0.12516929
0318_01,0.4835684
0319_01,0.113173746
0319_02,0.9999997
0323_01,0.68772924
0325_01,0.37878853
0328_01,0.5544995
0329_01,0.9999468
0332_01,0.45939198
0335_01,0.24057709
0339_01,0.2127463
0339_02,0.11578303
0339_03,0.47042874
0339_04,0.49560615
0339_05,0.80475456
0339_06,0.017569663
0339_07,0.2458342
0339_08,0.18046232
0342_01,0.87418324
0342_02,0.6073023
0344_01,0.9965511
0344_02,0.0009701253
0349_01,8.3911766e-14
0349_02,0.91882676
0349_03,0.03528006
0349_04,0.9730636
0349_05,0.28923023
0349_06,0.0047352836
0351_01,0.9969352
0353_01,0.45939198
0353_02,0.5053686
0354_01,0.7252042
0362_01,0.8420042
0363_01,0.45939198
0363_02,0.42677394
0363_03,0.52926743
0364_01,0.41090056
0364_02,0.3290789
